Form Number,Form Title,Page URL,Fileable Online,Short Description,Long Description,File Name,File URL,Extra Files
AR-11,Alien’s Change of Address Card,https://www.uscis.gov/ar-11,False,,"All noncitizens in the United States must report a change of address to USCIS within 10 days (except A and G visa holders and visa waiver visitors) of moving. Timely reporting a change of address also helps to ensure that we mail important notices and documents to the right place. You can change your address with USCIS through your online account or by filing a paper AR-11, Alien’s Change of Address Card. You can find detailed information about how to change an address on the How to Change Your Address page. Please visit our How To Change Your Address page for additional information. ",ar-11.pdf,https://www.uscis.gov/sites/default/files/document/forms/ar-11.pdf,{}
EOIR-29,Notice of Appeal to the Board of Immigration Appeals from a Decision of a DHS Officer,https://www.uscis.gov/eoir-29,False,,"Use this form to appeal a USCIS decision on a Form I-130 or Form I-360 Widow(er).Note: An attorney or an accredited representative of an organization recognized by the Board of Immigration Appeals must file a separate notice of appearance on behalf of the petitioner (Form EOIR-27) with EOIR-29. Do not use this form to appeal a Department of State overseas consular officer's denial of your visa application (for example, DS-157, DS-230, or DS-260). For information about visa application denials, please reference the Department of State website.",eoir-29.pdf,https://www.uscis.gov/sites/default/files/document/forms/eoir-29.pdf,{}
G-1041,Genealogy Index Search Request,https://www.uscis.gov/g-1041,False,,"Alert: Before sending your package to USCIS, make sure that all the forms you have completed are the current acceptable edition. USCIS published new editions for most forms on April 1, 2024. If you downloaded or printed your forms before April 1, you should verify the current edition date, because we will no longer accept a prior edition. The current acceptable edition can be found under the Edition Date section listed on each form’s webpage. You can also find the edition date at the bottom of the page on the form and instructions. For each form that you are submitting, make sure that all pages are from the same form edition. If any of the form’s pages are from a different form edition, we may reject your form. Watch USCIS Forms: Download the most recent version! to see how to ensure your form is acceptable. For additional guidance on filing paper-based forms at the Lockbox and how to avoid or correct common errors before you file, please visit the Five Steps to File at the USCIS Lockbox webpage. Use this form to request a search of USCIS historical indices. (To obtain copies of USCIS historical records, use Form G-1041A, Genealogy Records Request.) When we receive your request, we will determine whether any USCIS records exist on the subject and, if such records exist, will capture the file number and other identifiers of each record.",g-1041.pdf,https://www.uscis.gov/sites/default/files/document/forms/g-1041.pdf,{'g-1041instr.pdf': 'https://www.uscis.gov/sites/default/files/document/forms/g-1041instr.pdf'}
G-1041A,Genealogy Records Request,https://www.uscis.gov/g-1041a,False,,"Alert: Before sending your package to USCIS, make sure that all the forms you have completed are the current acceptable edition. USCIS published new editions for most forms on April 1, 2024. If you downloaded or printed your forms before April 1, you should verify the current edition date, because we will no longer accept a prior edition. The current acceptable edition can be found under the Edition Date section listed on each form’s webpage. You can also find the edition date at the bottom of the page on the form and instructions. For each form that you are submitting, make sure that all pages are from the same form edition. If any of the form’s pages are from a different form edition, we may reject your form. Watch USCIS Forms: Download the most recent version! to see how to ensure your form is acceptable. For additional guidance on filing paper-based forms at the Lockbox and how to avoid or correct common errors before you file, please visit the Five Steps to File at the USCIS Lockbox webpage. Use this form to obtain copies of USCIS historical records. (To request an index search of USCIS historical records, use Form G-1041, Genealogy Index Search Request.)",g-1041a.pdf,https://www.uscis.gov/sites/default/files/document/forms/g-1041a.pdf,{'g-1041ainstr.pdf': 'https://www.uscis.gov/sites/default/files/document/forms/g-1041ainstr.pdf'}
G-1055,Fee Schedule,https://www.uscis.gov/g-1055,False,,"ALERT: On July 31, 2024, we published a new edition of Form G-1055, Fee Schedule. The new edition, 07/31/24, clarifies fee exemptions and filing fee information for forms I-131 and I-765. ALERT: On Jan. 31, 2024, we published a final rule to adjust certain immigration and naturalization benefit request fees for the first time since 2016. The new filing fees are effective for filings postmarked April 1, 2024, and later. For more information, please visit our Frequently Asked Questions page. Use this form to verify fee information for immigration forms.Each application, petition, or request must be accompanied by the correct fee(s) unless you are exempt from paying the fee(s) or are eligible for a fee waiver. If the fee is incorrect, your application, petition, or request will be rejected.Fee Exemptions. Fee-exempt forms and filing categories list $0 as the Filing Fee. You do not need file Form I-912, Request for Fee Waiver, or make a formal request to qualify for a fee exemption. However, the fee exemptions in this schedule only indicate that the form is free to file. They do not indicate eligibility to file those benefit requests in all circumstances. Eligibility to file a particular benefit request is set forth in the applicable regulations and form instructions. Edition Date 07/31/24. You can find the edition date at the bottom of the page of Form G-1055, Fee Schedule. Downloads USCIS Fee Schedule (PDF, 1.08 MB) If you need help downloading and printing forms, read our instructions. ",g-1055.pdf,https://www.uscis.gov/sites/default/files/document/forms/g-1055.pdf,{}
G-1145,E-Notification of Application/Petition Acceptance,https://www.uscis.gov/g-1145,False,,Use this form to request a text message and/or email when USCIS accepts your form.,g-1145.pdf,https://www.uscis.gov/sites/default/files/document/forms/g-1145.pdf,{}
G-1256,Declaration for Interpreted USCIS Interview,https://www.uscis.gov/g-1256,False,,IMPORTANT: Do not sign the form before the interview. You and the interpreter must sign the form in the presence of the interviewing officer. The interviewing officer uses this form to:,g-1256.pdf,https://www.uscis.gov/sites/default/files/document/forms/g-1256.pdf,{'g-1256instr.pdf': 'https://www.uscis.gov/sites/default/files/document/forms/g-1256instr.pdf'}
G-1450,Authorization for Credit Card Transactions,https://www.uscis.gov/g-1450,False,,"You may pay your filing fee and biometric services fee, if applicable, with a credit card issued by a U.S. bank, if you are filing: There is no additional cost to file by credit card. We cannot accept a credit card issued by a foreign bank.",g-1450.pdf,https://www.uscis.gov/sites/default/files/document/forms/g-1450.pdf,{'g-1450instr.pdf': 'https://www.uscis.gov/sites/default/files/document/forms/g-1450instr.pdf'}
G-1566,Request for Certificate of Non-Existence,https://www.uscis.gov/g-1566,False,,"Use Form G-1566 to determine if specific immigration records exist within our database. If we determine the records you inquired about do not exist, we will issue a Certificate of Non-Existence. If we find the immigration record you inquired about, we will respond with additional information and will not issue a Certificate of Non-Existence.",g-1566.pdf,https://www.uscis.gov/sites/default/files/document/forms/g-1566.pdf,{'g-1566instr.pdf': 'https://www.uscis.gov/sites/default/files/document/forms/g-1566instr.pdf'}
G-28,Notice of Entry of Appearance as Attorney or Accredited Representative,https://www.uscis.gov/g-28,False,,"Use this form to provide information about your eligibility to act on behalf of an applicant, petitioner, or respondent.",g-28.pdf,https://www.uscis.gov/sites/default/files/document/forms/g-28.pdf,{'g-28instr.pdf': 'https://www.uscis.gov/sites/default/files/document/forms/g-28instr.pdf'}
